City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
140,140,Thompson,CA,55.74,-97.86,37.4,86,90,11.41,light intensity shower rain,0.0,0.0
141,141,Nouakchott,MR,18.09,-15.98,78.8,61,0,16.11,dust,0.0,0.0
142,142,Broome,US,42.25,-75.83,75.0,78,90,12.75,overcast clouds,0.0,0.0
143,143,Kurilsk,RU,45.23,147.88,37.96,90,68,8.1,broken clouds,0.0,0.0
144,144,Kwidzyn,PL,53.72,18.93,51.01,76,0,7.0,clear sky,0.0,0.0
145,145,Bagdarin,RU,54.43,113.6,37.94,73,89,4.07,overcast clouds,0.0,0.0
146,146,Narsaq,GL,60.92,-46.05,46.4,52,75,9.17,broken clouds,0.0,0.0
147,147,Noumea,NC,-22.28,166.46,72.0,93,0,3.36,clear sky,0.0,0.0
148,148,Zhanaozen,KZ,43.3,52.8,79.66,33,96,6.62,overcast clouds,0.0,0.0
149,149,Ixtapa,MX,20.7,-105.2,82.99,58,5,9.17,clear sky,0.0,0.0
150,150,Yarada,IN,17.65,83.27,87.8,84,40,9.17,mist,0.0,0.0
151,151,Upernavik,GL,72.79,-56.15,29.59,96,66,4.29,broken clouds,0.0,0.0
152,152,Porto Novo,BJ,6.5,2.6,79.23,87,100,8.03,heavy intensity rain,0.0,0.0
153,153,Sibolga,ID,1.74,98.78,79.45,76,100,1.68,overcast clouds,0.0,0.0
154,154,Nemuro,JP,43.32,145.57,46.98,88,100,3.27,overcast clouds,0.0,0.0
155,155,Leshukonskoye,RU,64.9,45.76,53.78,73,84,6.73,broken clouds,0.0,0.0
156,156,Mineros,BO,-17.12,-63.23,80.6,54,20,14.99,few clouds,0.0,0.0
157,157,Talalayivka,UA,50.96,31.92,57.42,96,98,13.53,light rain,0.0,0.0
158,158,Awbari,LY,26.59,12.78,83.25,22,100,12.1,overcast clouds,0.0,0.0
159,159,Pevek,RU,69.7,170.31,34.74,86,2,21.41,clear sky,0.0,0.0
160,160,Yellowknife,CA,62.46,-114.35,44.6,42,20,4.7,few clouds,0.0,0.0
161,161,Makakilo City,US,21.35,-158.09,80.6,65,1,6.93,clear sky,0.0,0.0
162,162,Talnakh,RU,69.49,88.4,37.4,86,75,6.71,broken clouds,0.0,0.0
163,163,Hami,CN,42.8,93.45,61.9,26,0,25.72,clear sky,0.0,0.0
164,164,Ponta Do Sol,PT,32.67,-17.1,69.8,73,20,4.7,few clouds,0.0,0.0
165,165,Goure,NE,13.98,10.27,98.01,11,7,1.99,clear sky,0.0,0.0
166,166,Mount Gambier,AU,-37.83,140.77,46.4,100,100,11.41,overcast clouds,0.0,0.0
167,167,Akureyri,IS,65.68,-18.09,60.8,44,20,16.11,few clouds,0.0,0.0
168,168,Pisco,PE,-13.7,-76.22,69.8,73,75,9.17,broken clouds,0.0,0.0
169,169,Kozmodemyansk,RU,56.34,46.57,60.8,48,0,2.24,clear sky,0.0,0.0
170,170,Puerto Gaitan,CO,4.31,-72.08,87.58,58,3,5.23,clear sky,0.0,0.0
171,171,Havoysund,NO,71.0,24.66,41.0,80,75,19.46,broken clouds,0.0,0.0
172,172,Talaya,RU,61.38,152.75,31.62,93,0,6.62,clear sky,0.0,0.0
173,173,Neuquen,AR,-38.95,-68.06,57.2,41,100,6.93,overcast clouds,0.0,0.0
174,174,Sitka,US,57.05,-135.33,60.8,41,75,14.99,broken clouds,0.0,0.0
175,175,Ancud,CL,-41.87,-73.82,48.99,61,40,5.82,scattered clouds,0.0,0.0
176,176,Brekstad,NO,63.69,9.67,48.2,81,75,13.87,broken clouds,0.0,0.0
177,177,Ketchikan,US,55.34,-131.65,51.8,93,90,17.22,overcast clouds,0.0,0.0
178,178,Puerto Carreno,CO,6.19,-67.49,86.0,66,75,6.93,shower rain,0.0,0.0
179,179,Bonfim,BR,3.08,-59.95,87.33,63,62,5.1,moderate rain,0.0,0.0
180,180,Usinsk,RU,65.99,57.53,45.7,80,3,10.71,clear sky,0.0,0.0
181,181,Ahipara,NZ,-35.17,173.17,60.22,92,100,4.23,light rain,0.0,0.0
182,182,Uyuni,BO,-20.46,-66.83,54.3,30,0,10.2,clear sky,0.0,0.0
183,183,Wagar,SD,16.15,36.2,97.65,12,0,4.12,clear sky,0.0,0.0
184,184,Tuktoyaktuk,CA,69.45,-133.04,44.6,67,20,11.41,few clouds,0.0,0.0
185,185,Brora,GB,58.01,-3.85,68.0,64,100,4.7,overcast clouds,0.0,0.0
186,186,Banda Aceh,ID,5.56,95.32,80.8,79,85,4.32,overcast clouds,0.0,0.0
187,187,Carnarvon,AU,-24.87,113.63,64.6,64,0,11.34,clear sky,0.0,0.0
188,188,Vanimo,PG,-2.67,141.3,76.87,85,100,6.49,light rain,0.0,0.0
189,189,Hofn,IS,64.25,-15.21,47.8,94,100,2.68,overcast clouds,0.0,0.0
190,190,Nexo,DK,55.06,15.13,55.4,62,84,5.82,broken clouds,0.0,0.0
191,191,Dumka,IN,24.27,87.25,84.24,76,5,11.7,clear sky,0.0,0.0
192,192,Aitape,PG,-3.14,142.35,76.84,82,100,5.1,overcast clouds,0.0,0.0
193,193,Fukue,JP,32.69,128.84,66.49,71,98,9.78,overcast clouds,0.0,0.0
194,194,Kinel-Cherkassy,RU,53.47,51.47,56.08,87,0,6.31,clear sky,0.0,0.0
195,195,Siauliai,LT,55.93,23.32,55.4,58,0,11.41,clear sky,0.0,0.0
196,196,Kandrian,PG,-6.22,149.55,77.22,88,5,3.98,moderate rain,0.0,0.0
197,197,Ikwiriri,TZ,-7.96,38.97,70.59,95,77,2.55,broken clouds,0.0,0.0
198,198,Guerrero Negro,MX,27.98,-114.06,76.53,47,3,13.78,clear sky,0.0,0.0
199,199,Panzhihua,CN,26.59,101.71,54.36,81,15,0.81,few clouds,0.0,0.0
200,200,Sungairaya,ID,0.7,108.9,78.93,84,99,2.28,overcast clouds,0.0,0.0
201,201,Grindavik,IS,63.84,-22.43,48.2,100,90,20.8,light intensity drizzle,0.0,0.0
202,202,Asmara,ER,15.33,38.93,67.87,31,0,3.85,clear sky,0.0,0.0
203,203,Vestmannaeyjar,IS,63.44,-20.27,48.2,100,90,17.22,drizzle,0.0,0.0
204,204,Husavik,IS,66.04,-17.34,60.8,44,20,16.11,few clouds,0.0,0.0
205,205,Sao Joao Da Barra,BR,-21.64,-41.05,73.4,60,75,9.17,broken clouds,0.0,0.0
206,206,Oroville,US,39.51,-121.56,91.0,40,1,4.7,clear sky,0.0,0.0
207,207,Huarmey,PE,-10.07,-78.15,72.48,68,73,7.2,broken clouds,0.0,0.0
208,208,Vostok,RU,46.49,135.88,47.89,99,22,5.23,few clouds,0.0,0.0
209,209,Byron Bay,AU,-28.65,153.62,62.6,93,75,8.05,broken clouds,0.0,0.0
210,210,Olafsvik,IS,64.89,-23.71,47.12,96,100,13.58,light rain,0.0,0.0
211,211,Zhigansk,RU,66.77,123.37,34.38,81,100,21.34,overcast clouds,0.0,0.0
212,212,Manta,EC,-0.95,-80.73,86.0,62,40,10.29,scattered clouds,0.0,0.0
213,213,Henties Bay,,-22.12,14.28,55.99,91,0,6.33,clear sky,0.0,0.0
214,214,Kafanchan,NG,9.58,8.3,76.41,74,68,2.06,broken clouds,0.0,0.0
215,215,Paratinga,BR,-12.69,-43.18,86.49,47,22,3.2,few clouds,0.0,0.0
216,216,Nantucket,US,41.28,-70.1,64.4,82,20,13.87,few clouds,0.0,0.0
217,217,Lompoc,US,34.64,-120.46,69.8,64,1,6.93,clear sky,0.0,0.0
218,218,Port-Gentil,GA,-0.72,8.78,82.4,83,40,12.75,scattered clouds,0.0,0.0
219,219,Lata,PT,40.16,-8.33,81.0,68,58,8.01,broken clouds,0.0,0.0
220,220,Dubna,RU,56.73,37.17,54.1,85,100,3.29,overcast clouds,0.0,0.0
221,221,Ilulissat,GL,69.22,-51.1,35.6,64,75,8.05,broken clouds,0.0,0.0
222,222,Kifri,IQ,34.7,44.97,95.45,13,18,10.29,few clouds,0.0,0.0
223,223,Norman Wells,CA,65.28,-126.83,53.6,40,5,10.29,clear sky,0.0,0.0
224,224,Lavrentiya,RU,65.58,-171.0,33.17,93,100,5.77,overcast clouds,0.0,0.0
225,225,Berlevag,NO,70.86,29.09,43.75,74,90,22.5,overcast clouds,0.0,0.0
226,226,Cairns,AU,-16.92,145.77,62.6,88,24,6.93,few clouds,0.0,0.0
227,227,Coihaique,CL,-45.58,-72.07,39.2,86,90,3.36,light intensity shower rain,0.0,0.0
228,228,Moengo,SR,5.62,-54.4,81.46,78,100,7.2,light rain,0.0,0.0
229,229,Jingdezhen,CN,29.29,117.21,68.99,81,100,2.33,overcast clouds,0.0,0.0
230,230,Ishigaki,JP,24.34,124.16,79.74,87,53,14.83,broken clouds,0.0,0.0
231,231,Gurgentepe,TR,40.79,37.6,45.39,100,97,2.15,overcast clouds,0.0,0.0
232,232,Marawi,PH,8.0,124.29,75.0,91,49,5.01,scattered clouds,0.0,0.0
233,233,Pacifica,US,37.61,-122.49,75.0,68,20,14.99,few clouds,0.0,0.0
234,234,Aripuana,BR,-9.17,-60.63,86.4,55,36,2.93,scattered clouds,0.0,0.0
235,235,Codrington,AU,-38.27,141.97,46.87,91,100,11.36,overcast clouds,0.0,0.0
236,236,Christchurch,NZ,-43.53,172.63,46.0,87,100,4.7,overcast clouds,0.0,0.0
237,237,Salaga,GH,8.55,-0.52,86.76,57,98,2.91,light rain,0.0,0.0
238,238,Matay,EG,28.42,30.78,77.31,25,0,14.0,clear sky,0.0,0.0
239,239,San Andres,CO,12.58,-81.7,86.0,79,75,9.17,broken clouds,0.0,0.0
240,240,Kushiro,JP,42.98,144.37,50.47,84,90,2.89,overcast clouds,0.0,0.0
241,241,Ostrovnoy,RU,68.05,39.51,42.64,84,100,24.65,overcast clouds,0.0,0.0
242,242,Kismayo,SO,-0.36,42.55,79.43,82,14,14.54,few clouds,0.0,0.0
243,243,Antalaha,MG,-14.9,50.28,73.85,81,82,8.12,broken clouds,0.0,0.0
244,244,Yar-Sale,RU,66.83,70.83,51.53,64,100,17.07,overcast clouds,0.0,0.0
245,245,Ziway,ET,7.93,38.72,66.22,82,41,10.65,light rain,0.0,0.0
246,246,Boralday,KZ,43.36,76.86,55.4,62,0,4.47,clear sky,0.0,0.0
247,247,Le Port,RE,-20.94,55.29,73.4,78,7,10.29,clear sky,0.0,0.0
248,248,Zmeinogorsk,RU,51.16,82.19,46.81,69,0,8.57,clear sky,0.0,0.0
249,249,Chlorakas,CY,34.8,32.41,66.2,68,40,13.87,scattered clouds,0.0,0.0
250,250,Panaba,MX,21.28,-88.27,99.09,37,88,11.25,overcast clouds,0.0,0.0
251,251,Kamenka,RU,51.32,42.77,64.99,75,0,1.01,clear sky,0.0,0.0
252,252,Pokhara,NP,28.23,83.98,66.34,74,100,1.59,overcast clouds,0.0,0.0
253,253,Gilgit,PK,35.92,74.31,73.69,25,6,2.39,clear sky,0.0,0.0
254,254,Bambous Virieux,MU,-20.34,57.76,75.2,83,40,12.75,scattered clouds,0.0,0.0
255,255,Atambua,ID,-9.11,124.89,71.53,88,99,4.59,overcast clouds,0.0,0.0
256,256,Teresopolis,BR,-22.41,-42.97,63.0,79,0,1.61,clear sky,0.0,0.0
257,257,Hirara,JP,24.8,125.28,78.06,88,98,17.94,overcast clouds,0.0,0.0
258,258,Amos,CA,48.57,-78.12,86.0,33,75,17.22,broken clouds,0.0,0.0
259,259,Rock Sound,BS,24.9,-76.2,79.02,81,4,13.65,clear sky,0.0,0.0
260,260,Saint George,US,37.1,-113.58,89.6,14,1,2.91,clear sky,0.0,0.0
261,261,Dunedin,NZ,-45.87,170.5,46.99,85,100,4.43,overcast clouds,0.0,0.0
262,262,Brooks,CA,50.58,-111.89,66.0,36,0,4.0,clear sky,0.0,0.0
263,263,Cabedelo,BR,-6.98,-34.83,86.0,70,40,11.41,scattered clouds,0.0,0.0
264,264,Radhanpur,IN,23.83,71.6,85.05,69,0,18.43,clear sky,0.0,0.0
265,265,Palembang,ID,-2.92,104.75,76.01,94,50,3.0,scattered clouds,0.0,0.0
266,266,Hede,CN,33.77,120.25,67.86,54,100,10.45,overcast clouds,0.0,0.0
