City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Hirara,JP,2020-05-27 12:18:11,24.8,125.28,78.8,88,75,4.7
279,Hamilton,US,2020-05-27 12:14:59,39.18,-84.53,70.0,100,75,5.23
280,Okha,RU,2020-05-27 12:18:12,53.57,142.95,34.99,88,97,8.68
281,Camargo,MX,2020-05-27 12:18:12,27.67,-105.17,67.35,61,0,6.08
282,Cabo San Lucas,MX,2020-05-27 12:15:29,22.89,-109.91,68.0,48,76,8.9
283,Juneau,US,2020-05-27 12:14:02,58.3,-134.42,45.0,93,40,3.67
284,Tilichiki,RU,2020-05-27 12:18:12,60.47,166.1,31.98,99,94,3.0
285,Kitui,KE,2020-05-27 12:18:12,-1.37,38.01,80.26,58,18,8.75
286,Melita,CA,2020-05-27 12:18:12,49.27,-101.0,52.0,90,3,11.99
287,Buchanan,LR,2020-05-27 12:18:12,5.88,-10.05,84.2,83,75,8.05
288,Ushtobe,KZ,2020-05-27 12:18:12,45.25,77.98,83.1,33,0,26.69
289,Popondetta,PG,2020-05-27 12:18:12,-8.75,148.25,75.16,95,13,3.11
290,Channel-Port Aux Basques,CA,2020-05-27 12:18:13,47.57,-59.14,48.29,95,99,12.71
291,Zenzeli,RU,2020-05-27 12:18:13,45.92,47.05,80.83,27,7,6.96
292,Egvekinot,RU,2020-05-27 12:18:13,66.32,-179.17,33.66,91,65,6.13
293,Preobrazheniye,RU,2020-05-27 12:18:13,42.9,133.91,50.61,84,18,8.43
294,Udachnyy,RU,2020-05-27 12:18:13,66.42,112.4,28.4,92,90,17.9
295,Amursk,RU,2020-05-27 12:18:13,50.23,136.9,57.2,63,48,6.24
296,Tayshet,RU,2020-05-27 12:18:13,55.93,98.0,50.7,59,84,10.83
297,Colon,PA,2020-05-27 12:18:13,9.36,-79.9,80.6,88,75,2.24
298,Ugoofaaru,MV,2020-05-27 12:18:13,5.67,73.0,84.54,78,71,17.11
299,Isabela,PH,2020-05-27 12:18:13,6.71,121.97,81.1,84,47,5.1
