City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
186,Kununurra,AU,-15.77,128.73,69.8,33,43,9.01,scattered clouds,0.0,0.0
187,Esmeraldas,BR,-19.76,-44.31,73.4,38,0,6.93,clear sky,0.0,0.0
188,College,US,64.86,-147.8,51.01,65,75,3.36,broken clouds,0.0,0.0
189,Bubaque,GW,11.28,-15.83,78.85,78,38,8.95,scattered clouds,0.0,0.0
190,Saint-Philippe,RE,-21.36,55.77,75.2,73,49,5.82,scattered clouds,0.0,0.0
191,San Quintin,MX,30.48,-115.95,65.07,86,86,2.71,overcast clouds,0.0,0.0
192,La Ronge,CA,55.1,-105.28,39.2,86,90,9.17,overcast clouds,0.0,0.0
193,Mongoumba,CF,3.64,18.59,84.25,77,100,1.14,light rain,0.0,0.0
194,Qandala,SO,11.47,49.87,90.57,61,100,3.65,overcast clouds,0.0,0.0
195,Saint George,US,37.1,-113.58,82.0,23,1,4.7,clear sky,0.0,0.0
196,Yumen,CN,40.28,97.2,67.5,34,100,24.96,overcast clouds,0.0,0.0
197,Aguililla,MX,18.73,-102.73,81.97,29,0,3.11,clear sky,0.0,0.0
198,Kieta,PG,-6.22,155.63,80.11,76,97,1.66,overcast clouds,0.0,0.0
199,Lalibela,ET,12.03,39.03,73.31,31,69,8.08,broken clouds,0.0,0.0
200,Pangnirtung,CA,66.15,-65.71,26.6,79,90,11.41,overcast clouds,0.0,0.0
201,Samarai,PG,-10.62,150.67,80.11,88,18,10.83,light rain,0.0,0.0
202,High Level,CA,58.52,-117.14,46.4,70,40,3.42,scattered clouds,0.0,0.0
203,Beringovskiy,RU,63.05,179.32,33.94,97,100,14.72,moderate rain,0.0,0.0
204,Kutum,SD,14.2,24.67,94.39,9,7,4.52,clear sky,0.0,0.0
205,Hirara,JP,24.8,125.28,78.49,87,47,19.22,light rain,0.0,0.0
206,Marsh Harbour,BS,26.54,-77.06,79.02,82,100,12.21,overcast clouds,0.0,0.0
207,Baruun-Urt,MN,46.68,113.28,61.7,61,47,18.28,scattered clouds,0.0,0.0
208,Nouadhibou,MR,20.93,-17.03,78.8,57,0,16.11,clear sky,0.0,0.0
209,San Patricio,MX,19.22,-104.7,69.8,83,5,2.06,clear sky,0.0,0.0
210,Bathsheba,BB,13.22,-59.52,86.0,62,75,18.34,broken clouds,0.0,0.0
211,Tuktoyaktuk,CA,69.45,-133.04,35.6,74,20,9.17,few clouds,0.0,0.0
212,Provideniya,RU,64.38,-173.3,32.02,98,100,6.91,light snow,0.0,0.0
213,Evans,US,33.53,-82.13,78.01,83,90,4.7,overcast clouds,0.0,0.0
214,Sangar,RU,63.92,127.47,33.73,95,100,16.4,light snow,0.0,0.0
215,Harper,LR,4.38,-7.72,82.81,77,79,9.31,light rain,0.0,0.0
216,Omaruru,NA,-21.43,15.93,80.26,16,0,8.59,clear sky,0.0,0.0
217,Hambantota,LK,6.12,81.12,82.04,80,82,16.46,light rain,0.0,0.0
218,Waitati,NZ,-45.75,170.57,46.99,86,80,1.01,broken clouds,0.0,0.0
219,Port Keats,AU,-14.25,129.55,74.73,37,84,8.75,broken clouds,0.0,0.0
220,Grindavik,IS,63.84,-22.43,48.2,100,90,21.92,mist,0.0,0.0
221,Iwanai,JP,42.97,140.51,49.03,85,79,1.32,broken clouds,0.0,0.0
222,Novyy Urengoy,RU,66.08,76.63,58.46,36,100,12.17,overcast clouds,0.0,0.0
223,Port Lincoln,AU,-34.73,135.87,55.63,73,1,10.18,clear sky,0.0,0.0
224,Shieli,KZ,44.17,66.75,84.36,17,0,13.69,clear sky,0.0,0.0
225,Inhambane,MZ,-23.86,35.38,75.2,41,20,8.05,few clouds,0.0,0.0
226,Saint-Augustin,CA,51.23,-58.65,58.37,69,100,7.23,overcast clouds,0.0,0.0
227,Salalah,OM,17.02,54.09,78.8,94,90,4.7,overcast clouds,0.0,0.0
228,Ambon,ID,-3.7,128.18,84.0,90,79,8.37,light rain,0.0,0.0
229,Kulu,TR,39.1,33.08,71.55,23,8,6.69,clear sky,0.0,0.0
230,Srikakulam,IN,18.3,83.9,84.87,84,15,11.39,few clouds,0.0,0.0
231,Manbij,SY,36.53,37.95,80.6,39,28,13.87,scattered clouds,0.0,0.0
232,Juneau,US,58.3,-134.42,48.99,81,75,3.74,broken clouds,0.0,0.0
233,Airai,TL,-8.93,125.41,59.5,100,49,2.13,scattered clouds,0.0,0.0
234,Tuatapere,NZ,-46.13,167.68,44.51,88,7,3.36,clear sky,0.0,0.0
